time,lambda_max
0,627.5570878625164
1,574.875987373242
2,662.3799720023402
3,569.1046606208953
4,554.0609536967149
5,503.0658665150173
6,590.9629841720755
7,537.4212583175076
8,595.6913545970388
9,502.8313017850541
10,573.9740437140491
11,625.0415216760786
12,647.2969614785998
13,573.8313628658536
14,518.2801403551196
15,521.680391661156
16,585.2366323398544
17,525.1250108768832
18,676.394891444398
19,611.9862978636763
20,611.0682250493815
21,562.8566668294021
22,519.0226501220505
23,558.5499980731468
24,649.6528066987366
25,684.5119020184222
26,472.36416767439107
27,627.1060248455666
28,461.7703481098552
29,594.4310222962516
30,652.6510612864564
31,554.1835470699668
32,571.1436201880863
33,571.419202827826
34,642.3139657301891
35,544.4578620758118
36,474.8327316842807
37,547.4978203735445
38,558.0471743891748
39,615.0483772333926
40,560.3134782455138
41,574.1023150983103
42,529.7126109711984
43,622.9233586208838
44,693.2099547089786
45,507.2885878785654
46,636.040711303098
47,562.4473460483163
48,509.128470627048
49,618.6778590195472
50,635.4374088517831
51,637.8248333769113
52,632.6753736173085
53,635.7343473513195
54,526.4383552820391
55,649.5871849981866
56,727.0354996599295
57,655.3065310278162
58,525.4724149993294
59,576.9729991903523
60,616.3891314933617
61,606.8771162287328
62,475.2402719744973
63,680.8233978793415
64,553.5675794146098
65,537.6866360736896
66,565.5597434117882
67,575.5372930599689
68,530.3935905303961
69,551.0535753955475
70,500.23909709236045
71,730.4463827506182
72,636.3439606972756
73,554.4343330827107
74,540.1224543975488
75,679.6848281632238
76,509.6953347232759
77,606.7497797251885
78,597.6736131120189
79,581.3938587141181
80,536.5547702273793
81,512.8058543701578
82,650.8502370457073
83,707.549336993388
84,669.0400339148757
85,659.935043614856
86,617.7715729310679
87,553.7512496144061
88,626.1653634964152
89,776.6741402074417
90,559.3573872092945
91,581.3384659597251
92,600.6724550597482
93,691.1885439932555
94,547.9339885310291
95,641.7922613443129
96,651.3427070213402
97,565.7251941992697
98,510.41445206175933
99,581.9691111915813
100,603.8097264135612
101,641.1699947251977
102,624.0559816715532
103,551.5467774271706
104,773.65259890301
105,554.0519450032956
106,564.6721739576249
107,579.4196709784981
108,603.7118021574249
109,552.724534212875
110,602.4759076864118
111,536.5093314984108
112,504.323187969828
113,708.5808937981092
114,549.5667284877286
115,637.3698005714728
116,562.5157465659554
117,636.6782608075013
118,582.1904732943796
119,541.3397243833851
120,568.7409953060679
121,643.0157471497649
122,514.982874277115
123,713.242471549431
124,625.9637359319568
125,579.9409807522803
126,567.8195817954748
127,565.5102583455324
128,646.7598594810322
129,688.9837719663547
130,588.6714990348563
131,492.56352105085386
132,728.8684758741326
133,580.9247959048583
134,578.2456435651637
135,619.8915607040258
136,685.6696783624802
137,626.2918310742256
138,709.4230981734702
139,706.2074726692016
140,647.7518409885116
141,508.5131414342715
142,681.6989420415698
143,582.8881528338073
144,598.274503087683
145,629.395398397669
146,595.7278604976777
147,604.7826972244617
148,518.1892753368254
149,505.4748514461809
150,731.9360494885419
151,633.5094231422902
152,661.0826349666767
153,617.8897152653597
154,564.8645655114624
155,732.3786553071728
156,639.1586791962375
157,569.572561910846
158,498.7822059372497
159,600.7148330612479
160,612.4947646022722
161,622.6117684785335
162,582.3352627945828
163,579.4925903294074
164,615.4949054516482
165,648.1522961784929
166,571.4561581425669
167,651.1685971632736
168,571.7560677900652
169,615.8217575155943
170,560.7568228062439
171,577.3242978012387
172,644.5798472833314
173,604.8293299753198
174,514.8965748556042
175,564.5690591868635
176,569.347587833137
177,515.6928327402725
178,580.9762950137205
179,556.8702193879673
180,692.7688510427722
181,645.290708524144
182,530.9926012199772
